"","condition","condition_subtype","group","IC50"
"2686","BD57-0170",NA,"E2.2",NA
"2687","BD57-0171",NA,"D2",NA
"2688","BD57-0173",NA,"E2.2",NA
"2689","BD57-0174",NA,"D2",NA
"2690","BD57-0175",NA,"D2",NA
"2691","BD57-0176",NA,"D2",NA
"2692","BD57-0177",NA,"E1",NA
"2693","BD57-0178",NA,"E2.2",NA
"2694","BD57-0179",NA,"E2.2",NA
"2695","BD57-018",NA,"A",NA
"2696","BD57-0181",NA,"E2.2",NA
"2697","BD57-0183",NA,"F1",NA
"2698","BD57-0184",NA,"E3",NA
"2699","BD57-0185",NA,"D1",NA
"2700","BD57-0186",NA,"E3",NA
"2701","BD57-0187",NA,"E2.2",NA
"2702","BD57-0188",NA,"E3",NA
"2703","BD57-0189",NA,"D2",NA
"2704","BD57-019",NA,"F2",NA
"2705","BD57-0190",NA,"F1",NA
"2706","BD57-0191",NA,"D2",NA
"2707","BD57-0193",NA,"E2.2",NA
"2708","BD57-0194",NA,"E2.1",NA
"2709","BD57-0195",NA,"E2.2",NA
"2710","BD57-0196",NA,"F1",NA
"2711","BD57-0198",NA,"D1",NA
"2712","BD57-0199",NA,"E2.2",NA
"2713","BD57-020",NA,"D1",NA
"2714","BD57-0200",NA,"E2.2",NA
"2715","BD57-0201",NA,"E3",NA
"2716","BD57-0202",NA,"E2.2",NA
"2717","BD57-0203",NA,"E2.2",NA
"2718","BD57-0205",NA,"E1",NA
"2719","BD57-0206",NA,"E2.2",NA
"2720","BD57-0207",NA,"C",NA
"2721","BD57-0209",NA,"F1",NA
"2722","BD57-021",NA,"A",NA
"2723","BD57-0210",NA,"F2",NA
"2724","BD57-0211",NA,"E2.2",NA
"2725","BD57-0212",NA,"F1",NA
"2726","BD57-0214",NA,"E2.2",NA
"2727","BD57-0215",NA,"D2",NA
"2728","BD57-0217",NA,"F1",NA
"2729","BD57-0218",NA,"E2.2",NA
"2730","BD57-0219",NA,"E2.2",NA
"2731","BD57-022",NA,"B",NA
"2732","BD57-0220",NA,"E3",NA
"2733","BD57-0221",NA,"E2.2",NA
"2734","BD57-0222",NA,"E2.2",NA
"2735","BD57-0223",NA,"D1",NA
"2736","BD57-0224",NA,"E2.2",NA
"2737","BD57-0225",NA,"E2.2",NA
"2738","BD57-0226",NA,"F2",NA
"2739","BD57-0227",NA,"F1",NA
"2740","BD57-0228",NA,"F2",NA
"2741","BD57-0229",NA,"E2.2",NA
"2742","BD57-023",NA,"D2",NA
"2743","BD57-0230",NA,"F1",NA
"2744","BD57-0231",NA,"C",NA
"2745","BD57-0232",NA,"E2.2",NA
"2746","BD57-0233",NA,"E2.2",NA
"2747","BD57-0234",NA,"E2.2",NA
"2748","BD57-0235",NA,"E3",NA
"2749","BD57-0236",NA,"E2.2",NA
"2750","BD57-0238",NA,"E3",NA
"2751","BD57-0239",NA,"E1",NA
"2752","BD57-024",NA,"A",NA
"2753","BD57-0240",NA,"E3",NA
"2754","BD57-0241",NA,"F1",NA
"2755","BD57-0242",NA,"D1",NA
"2756","BD57-0243",NA,"A",NA
"2757","BD57-0244",NA,"E2.1",NA
"2758","BD57-0245",NA,"F1",NA
"2759","BD57-0247",NA,"F1",NA
"2760","BD57-0248",NA,"F1",NA
"2761","BD57-0249",NA,"E3",NA
"2762","BD57-025",NA,"A",NA
"2763","BD57-0251",NA,"E3",NA
"2764","BD57-0254",NA,"A",NA
"2765","BD57-0255",NA,"F2",NA
"2766","BD57-0256",NA,"F1",NA
"2767","BD57-0259",NA,"E1",NA
"2768","BD57-026",NA,"E2.1",NA
"2769","BD57-0260",NA,"F2",NA
"2770","BD57-0261",NA,"C",NA
"2771","BD57-0262",NA,"C",NA
"2772","BD57-0263",NA,"B",NA
"2773","BD57-0264",NA,"A",NA
"2774","BD57-0265",NA,"E2.2",NA
"2775","BD57-0266",NA,"D1",NA
"2776","BD57-0267",NA,"E1",NA
"2777","BD57-0268",NA,"E3",NA
"2778","BD57-0269",NA,"B",NA
"2779","BD57-027",NA,"A",NA
"2780","BD57-0270",NA,"E2.2",NA
"2781","BD57-0272",NA,"E1",NA
"2782","BD57-0275",NA,"E2.2",NA
"2783","BD57-0279",NA,"E2.2",NA
"2784","BD57-028",NA,"D2",NA
"2785","BD57-0280",NA,"E2.2",NA
"2786","BD57-0281",NA,"D2",NA
"2787","BD57-0282",NA,"F1",NA
"2788","BD57-0283",NA,"E2.2",NA
"2789","BD57-0284",NA,"F1",NA
"2790","BD57-0285",NA,"B",NA
"2791","BD57-0286",NA,"E3",NA
"2792","BD57-0287",NA,"C",NA
"2793","BD57-0288",NA,"E2.1",NA
"2794","BD57-0289",NA,"E2.2",NA
"2795","BD57-029",NA,"A",NA
"2796","BD57-0290",NA,"E2.2",NA
"2797","BD57-0291",NA,"E2.2",NA
"2798","BD57-0292",NA,"E3",NA
"2799","BD57-0293",NA,"D2",NA
"2800","BD57-0294",NA,"E2.2",NA
"2801","BD57-0295",NA,"E2.2",NA
"2802","BD57-0296",NA,"D2",NA
"2803","BD57-0299",NA,"E2.2",NA
"2804","BD57-030",NA,"E2.1",NA
"2805","BD57-0301",NA,"E2.1",NA
"2806","BD57-0302",NA,"E2.2",NA
"2807","BD57-0303",NA,"D1",NA
"2808","BD57-0304",NA,"D2",NA
"2809","BD57-0306",NA,"E2.2",NA
"2810","BD57-0307",NA,"C",NA
"2811","BD57-031",NA,"B",NA
"2812","BD57-0310",NA,"F1",NA
"2813","BD57-0311",NA,"D1",NA
"2814","BD57-0312",NA,"E3",NA
"2815","BD57-0313",NA,"E1",NA
"2816","BD57-0314",NA,"E3",NA
"2817","BD57-0315",NA,"E2.1",NA
"2818","BD57-0316",NA,"F2",NA
"2819","BD57-0317",NA,"F1",NA
"2820","BD57-0319",NA,"F1",NA
"2821","BD57-032",NA,"F2",NA
"2822","BD57-0320",NA,"E3",NA
"2823","BD57-0321",NA,"E2.2",NA
"2824","BD57-0322",NA,"F1",NA
"2825","BD57-0323",NA,"F1",NA
"2826","BD57-0324",NA,"E2.1",NA
"2827","BD57-0326",NA,"D1",NA
"2828","BD57-0327",NA,"E2.2",NA
"2829","BD57-0328",NA,"E2.2",NA
"2830","BD57-0329",NA,"F1",NA
"2831","BD57-033",NA,"A",NA
"2832","BD57-0330",NA,"E2.2",NA
"2833","BD57-0333",NA,"E2.2",NA
"2834","BD57-0334",NA,"F1",NA
"2835","BD57-0335",NA,"D1",NA
"2836","BD57-0336",NA,"E3",NA
"2837","BD57-0337",NA,"E3",NA
"2838","BD57-034",NA,"E2.1",NA
"2839","BD57-0340",NA,"E2.1",NA
"2840","BD57-0341",NA,"D1",NA
"2841","BD57-0343",NA,"E1",NA
"2842","BD57-0345",NA,"D1",NA
"2843","BD57-0348",NA,"E3",NA
"2844","BD57-035",NA,"D1",NA
"2845","BD57-0351",NA,"D2",NA
"2846","BD57-0354",NA,"D2",NA
"2847","BD57-0355",NA,"C",NA
"2848","BD57-0356",NA,"C",NA
"2849","BD57-0357",NA,"C",NA
"2850","BD57-0358",NA,"E3",NA
"2851","BD57-0359",NA,"C",NA
"2852","BD57-0361",NA,"F2",NA
"2853","BD57-0362",NA,"E3",NA
"2854","BD57-0363",NA,"E2.2",NA
"2855","BD57-0364",NA,"E2.2",NA
"2856","BD57-0365",NA,"E2.2",NA
"2857","BD57-0366",NA,"E1",NA
"2858","BD57-0368",NA,"E2.2",NA
"2859","BD57-0369",NA,"E2.2",NA
"2860","BD57-037",NA,"E1",NA
"2861","BD57-0373",NA,"E2.2",NA
"2862","BD57-0374",NA,"E2.1",NA
"2863","BD57-0375",NA,"B",NA
"2864","BD57-0376",NA,"E2.2",NA
"2865","BD57-0377",NA,"F1",NA
"2866","BD57-0378",NA,"F2",NA
"2867","BD57-038",NA,"B",NA
"2868","BD57-0385",NA,"B",NA
"2869","BD57-0386",NA,"A",NA
"2870","BD57-0387",NA,"E2.2",NA
"2871","BD57-0388",NA,"E3",NA
"2872","BD57-0389",NA,"E2.2",NA
"2873","BD57-039",NA,"D2",NA
"2874","BD57-0390",NA,"F1",NA
"2875","BD57-0393",NA,"E3",NA
"2876","BD57-0394",NA,"A",NA
"2877","BD57-0397",NA,"E2.2",NA
"2878","BD57-0399",NA,"D2",NA
"2879","BD57-0400",NA,"E3",NA
"2880","BD57-0401",NA,"E3",NA
"2881","BD57-0402",NA,"C",NA
"2882","BD57-0403",NA,"F1",NA
"2883","BD57-0404",NA,"E3",NA
"2884","BD57-0405",NA,"E2.1",NA
"2885","BD57-0406",NA,"E3",NA
"2886","BD57-0408",NA,"E2.1",NA
"2887","BD57-041",NA,"E2.1",NA
"2888","BD57-0410",NA,"E2.2",NA
"2889","BD57-0411",NA,"C",NA
"2890","BD57-0412",NA,"D2",NA
"2891","BD57-042",NA,"D1",NA
"2892","BD57-043",NA,"C",NA
"2893","BD57-045",NA,"D2",NA
"2894","BD57-046",NA,"D1",NA
"2895","BD57-047",NA,"C",NA
"2896","BD57-049",NA,"B",NA
"2897","BD57-051",NA,"E2.1",NA
"2898","BD57-052",NA,"E2.1",NA
"2899","BD57-053",NA,"E2.1",NA
"2900","BD57-054",NA,"C",NA
"2901","BD57-056",NA,"B",NA
"2902","BD57-057",NA,"F1",NA
"2903","BD57-058",NA,"E1",NA
"2904","BD57-059",NA,"E1",NA
"2905","BD57-060",NA,"E2.1",NA
"2906","BD57-061",NA,"D1",NA
"2907","BD57-062",NA,"B",NA
"2908","BD57-063",NA,"F1",NA
"2909","BD57-064",NA,"F1",NA
"2910","BD57-065",NA,"E2.1",NA
"2911","BD57-066",NA,"F2",NA
"2912","BD57-067",NA,"D1",NA
"2913","BD57-068",NA,"E2.1",NA
"2914","BD57-069",NA,"D1",NA
"2915","BD57-070",NA,"D1",NA
"2916","BD57-071",NA,"E2.2",NA
"2917","BD57-072",NA,"F2",NA
"2918","BD57-073",NA,"D1",NA
"2919","BD57-074",NA,"F1",NA
"2920","BD57-075",NA,"F1",NA
"2921","BD57-076",NA,"F2",NA
"2922","BD57-077",NA,"C",NA
"2923","BD57-078",NA,"E2.1",NA
"2924","BD57-079",NA,"B",NA
"2925","BD57-080",NA,"E2.1",NA
"2926","BD57-082",NA,"D2",NA
"2927","BD57-083",NA,"F1",NA
"2928","BD57-085",NA,"D1",NA
"2929","BD57-087",NA,"E2.2",NA
"2930","BD57-088",NA,"F1",NA
"2931","BD57-089",NA,"D1",NA
"2932","BD57-090",NA,"F1",NA
"2933","BD57-091",NA,"F1",NA
"2934","BD57-092",NA,"F1",NA
"2935","BD57-093",NA,"F1",NA
"2936","BD57-096",NA,"E2.2",NA
"2937","BD57-097",NA,"F1",NA
"2938","BD57-098",NA,"D2",NA
"2939","BD57-099",NA,"E2.1",NA
"2940","BD57-100",NA,"E2.2",NA
"2941","BD58-0448",NA,"B",NA
"2942","BD58-0571",NA,"E3",NA
"2943","BD58-0572",NA,"E3",NA
"2944","BD58-0573",NA,"A",NA
"2945","BD58-0574",NA,"E3",NA
"2946","BD58-0575",NA,"E3",NA
"2947","BD58-0577",NA,"D1",NA
"2948","BD58-0578",NA,"E3",NA
"2949","BD58-0580",NA,"D1",NA
"2950","BD58-0584",NA,"E3",NA
"2951","BD58-0586",NA,"E3",NA
"2952","BD58-0587",NA,"E2.2",NA
"2953","BD58-0588",NA,"D2",NA
"2954","BD58-0589",NA,"E3",NA
"2955","BG1-24","class 1","B",8e-04
"2956","BG10-19","class 3/class 2","E1",0.0031
"2957","BG4-25","class 1","A",0.0044
"2958","BG7-15","class 3","D2",0.0015
"2959","BG7-20","class 1/class 2","A",0.0025
"2960","BRII-196","class 1","A",0.0527
"2961","BRII-198","class 3",NA,NA
"2962","C002","class 2","C",0.0655
"2963","C034",NA,"D1",NA
"2964","C048","class 4","F2",0.0869
"2965","C058","class 2","C",2e-04
"2966","C083","class 2/class 1","C",0.739
"2967","C085","class 2","C",0.0107
"2968","C089",NA,"F2",NA
"2969","C091","class 3","E2.2",0.633
"2970","C093","class 1","A",0.0215
"2971","C102","class 1","A",0.127
"2972","C105","class 1","A",0.0983
"2973","C110","class 3","D1",0.0998148148148148
"2974","C119","class 3","D1",0.0975739644970414
"2975","C121","class 2","C",0.0087
"2976","C135","class 3/class 1","A",0.0442
"2977","C144","class 2","C",0.00739
"2978","C1A-B12","class 1","A",0.0034
"2979","C1A-B3","class 1","A",0.0112
"2980","C1A-C2","class 1","A",0.0056
"2981","C1A-F10","class 1","A",0.0037
"2982","C213",NA,"F2",NA
"2983","C217",NA,"F2",NA
"2984","C516","class 2","C",0.00463
"2985","C547",NA,"E2.2",NA
"2986","C552",NA,"E2.2",NA
"2987","C556","class 3","E2.1",0.306
"2988","C576","class 3","E1",0.0054
"2989","C578","class 1","A",0.0156
"2990","C581","class 3","E2.2",0.0655
"2991","C591","class 2","C",0.0748
"2992","C594","class 4","F2",0.551
"2993","C597","class 1","B",0.0038
"2994","CA521","class 3/class 1",NA,NA
"2995","CB6","class 1",NA,NA
"2996","CC12.1","class 1","A",0.0112
"2997","CC12.3","class 1","A",0.0027
"2998","CM32","class 2","C",0.039
"2999","COV2-2015","class 4","F2",0.3
"3000","COV2-2037","class 1","A",0.0167
"3001","COV2-2046","class 1","B",0.00237
"3002","COV2-2050","class 2",NA,NA
"3003","COV2-2064","class 2","C",0.238
"3004","COV2-2068","class 1","A",0.0217
"3005","COV2-2072","class 1","B",0.0014
"3006","COV2-2082","class 4",NA,NA
"3007","COV2-2094","class 4",NA,NA
"3008","COV2-2096","class 2",NA,NA
"3009","COV2-2098","class 1","A",0.0067
"3010","COV2-2103","class 4","F2",0.584
"3011","COV2-2113","class 1","A",0.0164
"3012","COV2-2130","class 3","D1",0.00198429752066116
"3013","COV2-2165","class 1",NA,NA
"3014","COV2-2196","class 1","B",0.00164796116504854
"3015","COV2-2258","class 4","F2",0.579
"3016","COV2-2268","class 3","D2",0.509
"3017","COV2-2308","class 1","A",0.0091
"3018","COV2-2353","class 2","C",0.324
"3019","COV2-2381","class 1","B",0.0079
"3020","COV2-2389","class 3","E2.1",0.613
"3021","COV2-2391","class 2","C",0.0214
"3022","COV2-2413",NA,"C",NA
"3023","COV2-2479","class 2","C",0.0031
"3024","COV2-2485","class 3","E2.2",0.246
"3025","COV2-2499","class 3","D2",0.0024
"3026","COV2-2504","class 2","C",0.0017
"3027","COV2-2514","class 4","F2",0.00458
"3028","COV2-2531","class 4","F2",1.01
"3029","COV2-2539","class 2","C",0.186
"3030","COV2-2589","class 1","A",0.659
"3031","COV2-2628",NA,"E2.1",NA
"3032","COV2-2677","class 4","F2",NA
"3033","COV2-2678","class 4","F2",0.424
"3034","COV2-2684","class 1","B",1.042
"3035","COV2-2693","class 3","D1",4.28
"3036","COV2-2734",NA,"F2",NA
"3037","COV2-2760",NA,"D2",NA
"3038","COV2-2780","class 3","D1",1.53
"3039","COV2-2807","class 1","A",0.0602
"3040","COV2-2819","class 2","C",0.00672
"3041","COV2-2828","class 4","F2",1.52
"3042","COV2-2832","class 1",NA,NA
"3043","COV2-2841","class 4","F2",0.966
"3044","COV2-2848",NA,"E3",NA
"3045","COV2-2919","class 1","A",0.672
"3046","COV2-2941","class 1","B",0.279
"3047","COV2-2955","class 2","C",0.0249
"3048","COV2-3025","class 1","B",0.0013
"3049","COVA1-16","class 3/class 4","E3",0.253
"3050","COVA2-04","class 1","A",0.287
"3051","COVA2-39","class 1/class 2","B",4e-04
"3052","COVOX-150","class 1","A",0.084
"3053","COVOX-222","class 1","A",0.0023
"3054","COVOX-253H165L","class 1","B",0.000345
"3055","COVOX-253H55L","class 1","B",0.000381538461538462
"3056","COVOX-269","class 1","A",0.0016
"3057","COVOX-316","class 2","C",4e-04
"3058","COVOX-384","class 2","C",0.0036
"3059","COVOX-40","class 1","A",0.019
"3060","COVOX-45",NA,"E2.2",NA
"3061","COVOX-75","class 3","D1",0.027
"3062","COVOX-88","class 1","A",0.0024
"3063","CR3022","class 4",NA,NA
"3064","CR3022-B6","class 1",NA,NA
"3065","CV-X2-106","class 1","B",0.0622
"3066","CV05-163","class 1/class 2","A",0.0504
"3067","CV07-200","class 2","C",0.0301
"3068","CV07-209","class 1","B",0.009
"3069","CV07-222","class 2","C",0.0151
"3070","CV07-250","class 1","A",0.00169
"3071","CV07-255","class 2","C",0.0182
"3072","CV07-262","class 2","C",0.0184
"3073","CV07-270","class 3","D1",0.0021
"3074","CV07-283","class 2","C",0.0121
"3075","CV07-287","class 1","B",0.0265
"3076","CV07-315","class 2","C",0.408
"3077","CV2-75",NA,"F2",NA
"3078","CV30","class 1","A",0.0053
"3079","CV38-142","class 3","E1",0.368
"3080","DH1041","class 2","C",0.0086
"3081","DH1042","class 2","C",0.0146
"3082","DH1043","class 2","C",0.0056
"3083","DH1044","class 3","D1",0.0827
"3084","DH1045","class 4","F2",0.681
"3085","DH1046","class 4","F2",0.79
"3086","DH1047","class 4","F2",0.468
"3087","DH1063",NA,"D1",NA
"3088","DH1064",NA,"E3",NA
"3089","DH1072","class 3","E3",1.36
"3090","DH1073","class 4","F2",1.25
"3091","DH1082","class 2","C",5.28
"3092","DH1088",NA,"F1",NA
"3093","DH1111","class 2","C",1.16
"3094","DH1117",NA,"F1",NA
"3095","DH1126","class 1","A",0.0616
"3096","DH1128",NA,"C",NA
"3097","DH1129",NA,"C",NA
"3098","DH1130",NA,"C",NA
"3099","DH1140","class 1","A",0.474
"3100","DH1143","class 2","C",0.681
"3101","DH1151","class 3","E2.1",0.106
"3102","DH1154","class 1","A",0.0847
"3103","DH1155","class 1","A",0.213
"3104","DH1159-2","class 2","C",2.96
"3105","DH1160","class 3","D1",0.59
"3106","DH1161-1",NA,"D1",NA
"3107","DH1161-2","class 3","D1",2.19
"3108","DH1173","class 2","C",0.0095
"3109","DH1179","class 1","A",0.0199
"3110","DH1180",NA,"F3",NA
"3111","DH1183",NA,"F3",NA
"3112","DH1184","class 2","C",0.0054
"3113","DH1186","class 2","C",0.0106
"3114","DH1193","class 3","E2.2",1.36
"3115","DH1196","class 2","C",3.04
"3116","DH1210","class 1","A",0.128
"3117","DH1214","class 2","C",0.0577
"3118","DXP-593","class 2","C",0.0018
"3119","DXP-604","class 1","A",0.019
"3120","Ehling_mAb-50","class 3","D2",0.471
"3121","Ehling_mAb-64","class 1","A",0.58
"3122","Ehling_mAb-82","class 3","D1",1.07
"3123","EY6A",NA,"F1",NA
"3124","FC08","class 3",NA,NA
"3125","H014","class 4",NA,NA
"3126","H4","class 2","C",0.382
"3127","HuR33","class 3",NA,NA
"3128","LY-CoV016","class 1","A",0.073
"3129","LY-CoV1404","class 3","D2",0.00116843209876543
"3130","LY-CoV481","class 1","A",0.0536
"3131","LY-CoV488","class 1","A",0.0522
"3132","LY-CoV555","class 2","C",0.0130628985507246
"3133","NT-193","class 4",NA,NA
"3134","OC220225-GC0003","class 1",NA,NA
"3135","OC220225-GC0005","class 2",NA,NA
"3136","OC220225-GC0006","class 1",NA,NA
"3137","OC220225-GC0009","class 1",NA,NA
"3138","OC220225-GC0010","class 2",NA,NA
"3139","OC220225-GC0012","class 1",NA,NA
"3140","OC220225-GC0013","class 1",NA,NA
"3141","OC220225-GC0014","class 4",NA,NA
"3142","OC220225-GC0015","class 3",NA,NA
"3143","OC220225-GC0017","class 2",NA,NA
"3144","OC220225-GC0018","class 1",NA,NA
"3145","OC220225-GC0019","class 4",NA,NA
"3146","OC220225-GC0020","class 3",NA,NA
"3147","OC220225-GC0021","class 1",NA,NA
"3148","OC220225-GC0022","class 1",NA,NA
"3149","OC220225-GC0023","class 3",NA,NA
"3150","OC220225-GC0024","class 1",NA,NA
"3151","OC220225-GC0025","class 1",NA,NA
"3152","OC220225-GC0026","class 3",NA,NA
"3153","OC220225-GC0027","class 1",NA,NA
"3154","OC220225-GC0028","class 3",NA,NA
"3155","OC220225-GC0029","class 1",NA,NA
"3156","OC220225-GC0030","class 3",NA,NA
"3157","OC220225-GC0031","class 1",NA,NA
"3158","OC220225-GC0032","class 4",NA,NA
"3159","OC220225-GC0033","class 1",NA,NA
"3160","OC220225-GC0034","class 3",NA,NA
"3161","OC220225-GC0035","class 3",NA,NA
"3162","OC220225-GC0037","class 3",NA,NA
"3163","OC220225-GC0038","class 1",NA,NA
"3164","OC220225-GC0041","class 3",NA,NA
"3165","OC220225-GC0042","class 3",NA,NA
"3166","OC220225-GC0043","class 2",NA,NA
"3167","OC220225-GC0045","class 3",NA,NA
"3168","OC220225-GC0046","class 3",NA,NA
"3169","OC220225-GC0047","class 2",NA,NA
"3170","OC220225-GC0049","class 1",NA,NA
"3171","OC220225-GC0051","class 3",NA,NA
"3172","OC220225-GC0052","class 3",NA,NA
"3173","OC220225-GC0053","class 3",NA,NA
"3174","OC220225-GC0054","class 2",NA,NA
"3175","OC220225-GC0056","class 1",NA,NA
"3176","OC220225-GC0057","class 4",NA,NA
"3177","OC220225-GC0058","class 3",NA,NA
"3178","OC220225-GC0059","class 3",NA,NA
"3179","OC220225-GC0060","class 3",NA,NA
"3180","OC220225-GC0062","class 1",NA,NA
"3181","OC220225-GC0065","class 3",NA,NA
"3182","OC220225-GC0067","class 3",NA,NA
"3183","OC220225-GC0068","class 3",NA,NA
"3184","OC220225-GC0069","class 3",NA,NA
"3185","OC220225-GC0070","class 3",NA,NA
"3186","OC220225-GC0073","class 3",NA,NA
"3187","OC220225-GC0074","class 4",NA,NA
"3188","OC220225-GC0077","class 2",NA,NA
"3189","OC220225-GC0078","class 3",NA,NA
"3190","OC220225-GC0079","class 1",NA,NA
"3191","OC220225-GC0082","class 3",NA,NA
"3192","OC220225-GC0083","class 4",NA,NA
"3193","OC220225-GC0085","class 3",NA,NA
"3194","OC220225-GC0087","class 3",NA,NA
"3195","OC220225-GC0088","class 4",NA,NA
"3196","OC220225-GC0089","class 3",NA,NA
"3197","OC220225-GC0091","class 4",NA,NA
"3198","OC220225-GC0092","class 4",NA,NA
"3199","OC220225-GC0096","class 3",NA,NA
"3200","OC220225-GC0097","class 4",NA,NA
"3201","OC220225-GC0099","class 3",NA,NA
"3202","OC220225-GC0100","class 3",NA,NA
"3203","OC220225-SN0003","class 1",NA,NA
"3204","OC220225-SN0005","class 1",NA,NA
"3205","OC220225-SN0006","class 1",NA,NA
"3206","OC220225-SN0007","class 3",NA,NA
"3207","OC220225-SN0008","class 4",NA,NA
"3208","OC220225-SN0010","class 3",NA,NA
"3209","OC220225-SN0012","class 3",NA,NA
"3210","OC220225-SN0014","class 3",NA,NA
"3211","OC220225-SN0015","class 1",NA,NA
"3212","OC220225-SN0019","class 4",NA,NA
"3213","OC220225-SN0021","class 3",NA,NA
"3214","OC220225-SN0022","class 3",NA,NA
"3215","OC220225-SN0023","class 1",NA,NA
"3216","OC220225-SN0025","class 3",NA,NA
"3217","OC220225-SN0027","class 3",NA,NA
"3218","OC220225-SN0028","class 3",NA,NA
"3219","OC220225-SN0030","class 4",NA,NA
"3220","OC220225-SN0031","class 3",NA,NA
"3221","OC220225-SN0032","class 3",NA,NA
"3222","OC220225-SN0037","class 4",NA,NA
"3223","OC220225-SN0038","class 4",NA,NA
"3224","OC220225-SN0039","class 4",NA,NA
"3225","OC220225-SN0040","class 3",NA,NA
"3226","OC220225-SN0042","class 4",NA,NA
"3227","OC220225-SN0044","class 1",NA,NA
"3228","OC220225-SN0045","class 3",NA,NA
"3229","OC220225-SN0046","class 4",NA,NA
"3230","OC220225-SN0048","class 3",NA,NA
"3231","OC220225-SN0049","class 1",NA,NA
"3232","OC220225-SN0051","class 3",NA,NA
"3233","OC220225-SN0052","class 4",NA,NA
"3234","OC220225-SN0054","class 3",NA,NA
"3235","OC220225-SN0055","class 3",NA,NA
"3236","OC220225-SN0056","class 4",NA,NA
"3237","OC220225-SN0057","class 4",NA,NA
"3238","OC220225-SN0058","class 3",NA,NA
"3239","OC220225-SN0059","class 2",NA,NA
"3240","OC220225-SN0061","class 3",NA,NA
"3241","OC220225-SN0064","class 3",NA,NA
"3242","OC220225-SN0065","class 3",NA,NA
"3243","OC220225-SN0066","class 3",NA,NA
"3244","OC220225-SN0067","class 3",NA,NA
"3245","OC220225-SN0068","class 3",NA,NA
"3246","OC220225-SN0069","class 3",NA,NA
"3247","OC220225-SN0070","class 3",NA,NA
"3248","OC220225-SN0071","class 3",NA,NA
"3249","OC220225-SN0073","class 4",NA,NA
"3250","OC220225-SN0074","class 3",NA,NA
"3251","OC220225-SN0075","class 4",NA,NA
"3252","OC220225-SN0076","class 3",NA,NA
"3253","OC220225-SN0077","class 3",NA,NA
"3254","OC220225-SN0078","class 3",NA,NA
"3255","OC220225-SN0079","class 3",NA,NA
"3256","OC220225-SN0080","class 3",NA,NA
"3257","OC220225-SN0081","class 4",NA,NA
"3258","OC220225-SN0083","class 3",NA,NA
"3259","OC220225-SN0085","class 3",NA,NA
"3260","OC220225-SN0087","class 3",NA,NA
"3261","OC220225-SN0088","class 4",NA,NA
"3262","OC220225-SN0089","class 3",NA,NA
"3263","OC220225-SN0090","class 3",NA,NA
"3264","OC220225-SN0091","class 4",NA,NA
"3265","OC220225-SN0092","class 3",NA,NA
"3266","OC220225-SN0096","class 3",NA,NA
"3267","OC220225-SN0097","class 4",NA,NA
"3268","OC220225-SN0098","class 3",NA,NA
"3269","OC220225-SN0099","class 3",NA,NA
"3270","OC220225-SN0100","class 3",NA,NA
"3271","OC220225-SN0102","class 4",NA,NA
"3272","OC220225-SN0103","class 4",NA,NA
"3273","OC220225-SN0104","class 3",NA,NA
"3274","OC220225-SN0105","class 4",NA,NA
"3275","OC220225-SN0106","class 3",NA,NA
"3276","OC220225-SN0108","class 3",NA,NA
"3277","OC220225-SN0109","class 4",NA,NA
"3278","OC220225-SN0110","class 4",NA,NA
"3279","OC220225-SN0111","class 4",NA,NA
"3280","OC220225-SN0112","class 3",NA,NA
"3281","OC220225-SN0113","class 3",NA,NA
"3282","OC220225-SN0114","class 3",NA,NA
"3283","OC220225-SN0115","class 3",NA,NA
"3284","OC220225-SN0116","class 4",NA,NA
"3285","OC220225-SN0117","class 4",NA,NA
"3286","OC220225-SN0118","class 3",NA,NA
"3287","OC220225-SN0119","class 3",NA,NA
"3288","OC220225-SN0122","class 3",NA,NA
"3289","OC220225-SN0124","class 3",NA,NA
"3290","OC220225-SN0126","class 4",NA,NA
"3291","OC220225-SN0127","class 3",NA,NA
"3292","OC220225-SN0128","class 3",NA,NA
"3293","OC220225-SN0129","class 3",NA,NA
"3294","OC220225-SN0134","class 3",NA,NA
"3295","OC220225-SN0137","class 3",NA,NA
"3296","OC220225-SN0138","class 3",NA,NA
"3297","OC220225-SN0139","class 4",NA,NA
"3298","OC220225-SN0140","class 3",NA,NA
"3299","OC220225-SN0142","class 4",NA,NA
"3300","OC220225-SN0143","class 3",NA,NA
"3301","OC220225-SN0145","class 3",NA,NA
"3302","OC220225-SN0146","class 3",NA,NA
"3303","OC220225-SN0147","class 1",NA,NA
"3304","OC220225-SN0148","class 3",NA,NA
"3305","OC220225-SN0149","class 3",NA,NA
"3306","OC220225-SN0150","class 3",NA,NA
"3307","OC220225-SN0151","class 3",NA,NA
"3308","OC220225-SN0152","class 3",NA,NA
"3309","OC220225-SN0153","class 3",NA,NA
"3310","OC220225-SN0154","class 3",NA,NA
"3311","OC220225-SN0158","class 3",NA,NA
"3312","OC220225-SN0161","class 3",NA,NA
"3313","OC220225-SN0163","class 3",NA,NA
"3314","OC220225-SN0164","class 3",NA,NA
"3315","OC220225-SN0166","class 3",NA,NA
"3316","OC220225-SN0168","class 3",NA,NA
"3317","OC220225-SN0170","class 3",NA,NA
"3318","OC220225-SN0171","class 3",NA,NA
"3319","OC220225-SN0172","class 3",NA,NA
"3320","OC220225-SN0175","class 3",NA,NA
"3321","OC220225-SN0177","class 3",NA,NA
